mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsclassifier__n_neighbors,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
0.005000448226928711,0.0006326365650185136,0.00679926872253418,0.0004000914216868801,20,{'kneighborsclassifier__n_neighbors': 20},0.390758547008547,0.3356895651038266,0.31446715423795213,0.44017094017094016,0.4748414667769506,0.39118553465964334,0.060602936861910206,21,0.524111406670934,0.4397138591776525,0.4122529530394699,0.5880299187991497,0.63146260254694,0.5191141480468292,0.08380960822198803,21
0.005399847030639648,0.0030063799175543537,0.005800724029541016,0.0014696462439747454,23,{'kneighborsclassifier__n_neighbors': 23},0.3924946581196581,0.3356895651038266,0.32917591746114666,0.4305555555555556,0.4513371932726772,0.3878505779025728,0.04906999075333861,22,0.5165708873558511,0.44192860190584554,0.44149893379102306,0.5739755413668457,0.6024232964018886,0.5152794521642908,0.0661284513747297,22
0.004801034927368164,0.0003995909326661038,0.006800270080566407,0.00040011697183239397,22,{'kneighborsclassifier__n_neighbors': 22},0.406383547008547,0.3356895651038266,0.31601802272430457,0.4321064240419079,0.4417218086572925,0.38638387350717573,0.05113529406414377,26,0.5410834872124246,0.44192860190584554,0.42202901398303694,0.5785581568190263,0.5893418176026872,0.5145882155046041,0.06961160689987177,23
0.004600048065185547,0.0004925121720606219,0.007197952270507813,0.0003996639762774142,28,{'kneighborsclassifier__n_neighbors': 28},0.4202724358974359,0.34375408123285883,0.3240825388533368,0.3797559966914806,0.469017094017094,0.38737642933844124,0.0523725924456934,23,0.561796950963863,0.4497599301615015,0.4374486171219383,0.499068341806547,0.6247220212737454,0.5145591722655191,0.070359372308283,24
0.004600906372070312,0.0004894162050391069,0.006798791885375977,0.00039985289009709176,21,{'kneighborsclassifier__n_neighbors': 21},0.390758547008547,0.3356895651038266,0.28518022724304554,0.4321064240419079,0.4887303556658395,0.3864930238126333,0.07126924043176212,25,0.5206940691224576,0.4397138591776525,0.3781822051936995,0.5785581568190263,0.6522277722277722,0.5138752125081216,0.09724639780791107,25
0.003998422622680664,0.0006303781207856548,0.007199478149414062,0.002638478585723882,25,{'kneighborsclassifier__n_neighbors': 25},0.4202724358974359,0.34375408123285883,0.3240825388533368,0.39898676592224985,0.44551282051282054,0.3865217284837404,0.04583047108884887,24,0.561796950963863,0.4497599301615015,0.4341501410466927,0.5299243091005105,0.5936914936914937,0.5138645649928122,0.062276096767643147,26
0.005001544952392578,9.172145872913049e-07,0.006997489929199218,1.1738332390872165e-06,29,{'kneighborsclassifier__n_neighbors': 29},0.4280849358974359,0.34375408123285883,0.30130925950111004,0.3658671078025917,0.45940170940170943,0.3796834187671411,0.057134979315985476,29,0.5706910104908338,0.45112037109835684,0.4047773056393746,0.478155372892215,0.6119897544316151,0.5033467629104791,0.07670291693059847,27
0.004999589920043945,0.0006321084807346786,0.007199478149414062,0.0009790923553243771,31,{'kneighborsclassifier__n_neighbors': 31},0.422008547008547,0.3518185973618911,0.3109246441164947,0.37120898814447206,0.44551282051282054,0.3802947194288451,0.048371668381675254,27,0.5594042271869957,0.458991360257183,0.4206493244605767,0.48461538461538456,0.5908615380786794,0.5029043669197638,0.0631782070121271,28
0.004201173782348633,0.00039971390657426574,0.00699763298034668,0.000632790207004519,30,{'kneighborsclassifier__n_neighbors': 30},0.422008547008547,0.3569119759697009,0.3109246441164947,0.3519782189137028,0.45940170940170943,0.3802450190820309,0.05321415444265739,28,0.5594042271869957,0.4684609149035164,0.41880684583170547,0.45556064306064303,0.6119897544316151,0.5028444770828951,0.07154300898573573,29
0.0046005725860595705,0.0004907013803037399,0.007198524475097656,0.00040044937851192876,26,{'kneighborsclassifier__n_neighbors': 26},0.39676816239316237,0.34375408123285883,0.33214705498236907,0.3893713813068652,0.42628205128205127,0.3776645462394614,0.03489246790157751,30,0.5279109076577432,0.4497599301615015,0.4437357037396462,0.5148091235047756,0.5643568439065624,0.5001145017940457,0.04653988044810228,30
